"S.N","Scheme Code","MSC_Primary","MSC_Secondary","WEP_Primary","WEP_Secondary","Vertical ","Title","Scheme Provider","Area Of Interest","Sector ","State","Eligibility","Link for enrollment","Link to scheme information","Link to government website","Details","Gender ","Implementing Agency","Target Audience",""
"373","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Sheep Rearing & Development Programme (SRDP)","Veterinary and Animal Husbandry Department,
Government of Telangana","","Agri and allied activities","Telangana","Every person aged above 18 years from shepherd community","NA","https://vahd.telangana.gov.in/Content.aspx","https://vahd.telangana.gov.in/Content.aspx","This scheme gave a quantum jump to the rural economy and is designed for the upliftment of Yadava/Golla/Kuruma families who are approximately 4 lakhs in the state. Provision of financial support to these skilled families for rearing sheep on a large scale will facilitate not only their economic development but also facilitate production of sufficient meat in the state. It is also targeted to make Telangana a hub for meat export in near future. The traditional shepherd families will be supported with the supply of (20+1) sheep with a unit cost of Rs. 1.25 lakh on 75% subsidy with a total project outlay of Rs. 5,000 crores.","B","TELANGANA STATE SHEEP & GOAT 
DEVELOPMENT COOPERATIVE FEDERATION LIMITED","Entrepreneurs",""
"374","","Market linkages","NA","Market Linkages","NA","Market Linkages0","Construction of Fish Markets","Fisheries Department,
Government of Telangana","","Agri and allied activities","Telangana","Fishermen and Fisherwomen","NA","NA","https://fisheries.telangana.gov.in/content.php?U=6%20&&%20T=State%20Sponsored%20Scheme","For the promotion of fish sales in a hygienic condition, the construction of fish markets is taken up by the Department of fisheries. 84 Fish Markets are sanctioned with a total financial outlay of Rs. 760.89 lakhs till now. Out of which 29 markets have been completed the remaining are at different stages.","B","","Entrepreneurs",""
"375","","Access to finance","Training/skilling","Funding","Business Development Services","Funding, Business Development Services","Green Houses/ Polyhouses","Horticulture Department, Government of Telangana","","Agri and allied activities","Telangana","Farmers","NA","https://horticulture.tg.nic.in/PolyHouse/Downloads/poly%20house%20Guidelines%20GO%2030-18-12-14.PDF","https://horticulture.tg.nic.in/PolyHouse/Downloads/Technical%20Specification.pdf","Under this scheme subsidy is provided to construct green/poly houses. Training is also provided to farmers.","B","","Entrepreneurs",""
"376","","Access to business support services","Training/skilling","Business Development Services","Business Development Services","Business Development Services, Business Development Services","Critical interventions for promotion of Vegetables and Spices","Horticulture Department, Government of Telangana","","Agri and allied activities","Telangana","Farmers","NA","NA","https://horticulture.tg.nic.in/Downloads/CIVS.pdf","This scheme aims to increase production and productivity of vegetables / spices. Objectives of the scheme are: 
• Attaining self sufficiency in vegetables/spices through increased production by utilising varietal potential or by supply of vegetable seedlings/pluglings to the farmers from a “common facility centre” i.e. Centre of Excellence at Jeedimetla, Medchal district and Plug type nursery unit at COE, Mulugu, Siddipet district.
• To assist the farmer in development of farm infrastructure (Pandals, Creepermesh) for promotion of vegetable production.
• To encourage off-season cultivation of vegetables under shade-net during hot summers
• Conducting trainings and organizing exposure visits to farmers in various aspects of vegetable cultivation by utilising the available expertise from state Horticulture and Agriculture universities at Centre of Excellence, Jeedimetla, Centre of Excellence, Mulugu and at HTI, Hyd.
• To minimize the post-harvest losses of vegetables during transportation.","B","","Entrepreneurs",""
"377","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","TASK","Department of ITE&C, Government of Telangana","","All","Telangana","Students (Graduate/PG/Polytechnic)","NA","NA","https://www.task.telangana.gov.in/Our-Programmes/Skill_Offerings_for_the_Academic_Year_2020-21","A unique skill development initiative from IT, E&C Department aimed at improving the quality of graduates coming out of colleges by imparting industry-grade skill sets. More than 800 colleges have registered with TASK and over 1 lakh youth from across Telangana have been skilled since TASK’s inception in June 2015.","B","","Labor in Enterprise",""
"378","","Entrepreneurship Promotion","NA","Incubation and Acceleration","NA","Incubation and Acceleration0","Technology Entrepreneurship Program","Department of ITE&C, Government of Telangana","","All","Telangana","Engineering students","https://www.task.telangana.gov.in/Login","NA","NA","Technology Entrepreneurship Programme (TEP) is a semi-virtual programme offered by the Indian School of Business(ISB) in partnership with Telangana Academy for Skill and Knowledge (TASK). The program is tailored specifically to motivate and generate interest in entrepreneurship among 2nd-year 2nd-semester engineering students.TEP aims to foster entrepreneurship by guiding engineering students in creating technology-enabled products and services. Additionally, the programme helps improve their communication, teamwork , problem-solving and decision-making abilities

TEP has three primary goals at its core:
i. To promote technology entrepreneurship as a viable career option and nurture the culture of entrepreneurship in the region.
ii. Link entrepreneurial and innovative behaviour to educational and career pathways.
iii. To provide an environment/experience for engineering students to create investable technology-based start-ups.","B","","Entrepreneurs",""
"379","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","T-IDEA (Telangana State Industrial Development and Entrepreneur Advancement) Incentive Scheme","Industries & Commerce Department, Government of Telangana","","All","Telangana","Entrepreneurs","https://ipass.telangana.gov.in/IpassLogin.aspx","NA","http://industries.telangana.gov.in/Library/2014INDS_MS28.pdf","Under the NEW INDUSTRIAL POLICY FRAMEWORK FOR STATE OF TELANGANA 2014, the Government approved fiscal benefits covering the categories of (a) Micro/Small Enterprises (b) Medium Enterprises & Large Industries (c) Women Entrepreneurs and (d) Mega Projects under the T-IDEA (Telangana State Industrial Development and Entrepreneur Advancement) incentive scheme. The following benefits are provided to Micro and Small Enterprises (MSE’s):
1. 100% reimbursement of Stamp duty and transfer duty paid by the industry on purchase of land meant for industrial use.
2. 100% reimbursement of Stamp duty for Lease of Land/Shed/Buildings and also mortgages and hypothecations.
3. 25% rebate in land cost limited to Rs.10.00 Lakhs in Industrial Estates/ Industrial Parks.
4. 25% Land conversion charges for industrial use limited to Rs.10.0 lakhs.
5. Fixed power cost reimbursement @ Rs. 1.00 per unit for 5 years from the date of commencement of commercial production. 6. 15% investment subsidy on fixed capital investment subject to a maximum of Rs.20.00 lakhs.
7. Reimbursement of 100% net VAT/CST or State Goods and Services Tax (SGST) for a period of 5 years from the date of commencement of commercial production.
8. Interest subsidy under Pavala Vaddi Scheme on the term loan taken on the fixed capital investment by New Micro and Small Enterprises in excess of 3% per annum subject to a maximum reimbursement of 9% per annum for a period of 5 years from the date of commencement of commercial production.
9. Seed capital assistance to First Generation Entrepreneurs to set-up Micro Enterprises @10% of the Machinery cost, which will be deducted from the eligible investment subsidy.
10. 50% Reimbursement of cost involved in skill upgradation and training the local manpower limited to Rs.2000 per person.
11. 50% subsidy on the expenses incurred for quality certification/ patent registration limited to Rs. 2.00 Lakhs.
12. 25% subsidy on specific cleaner production measures limited to Rs.5.00 Lakhs. The following benefits are provided to Medium Enterprises & Large Industries:
1. 100% reimbursement of Stamp duty and transfer duty paid by the industry on purchase of land meant for industrial use. 2. 100% reimbursement of Stamp duty for Lease of Land/Shed/ Buildings and also mortgages and hypothecations.
3. 25% rebate in land cost limited to Rs.10.00 Lakhs in Industrial Estates/Industrial Parks.
4. 25% Land conversion charges for industrial use limited to Rs.10.0 lakhs only for Medium Enterprises.
5. Fixed power cost reimbursement @ Rs.1.00 per unit for a period of 5 years from the date of commencement of commercial production.
6. Reimbursement of 75% net VAT/CST or State Goods and Services Tax (SGST) for a period of 7 years from the date of commencement of commercial production for Medium Scale Enterprises or up to realization of 100% fixed capital investment, whichever is earlier.
7. Reimbursement of 50% net VAT/CST or State Goods and Services Tax (SGST) for a period of 7 years from the date of commencement of commercial production for Large Scale Industries or up to realization of 100% fixed capital investment, whichever is earlier.
8. 50% Reimbursement of cost involved in skill upgradation and training the local manpower limited to Rs.2000 per person. 50% subsidy on the expenses incurred for quality certification/ patent registration limited to Rs. 2.00 Lakhs only for Medium Enterprises.
9. 25% subsidy on specific cleaner production measures limited to Rs.5.00 Lakhs.
10. Infrastructure like roads, power and water will be provided at doorstep of the industry for standalone units by contributing 50% of the cost of infrastructure from IIDF with a ceiling of Rs.1.00 Crore, subject to (a) the location should be beyond 10 kms from the existing Industrial Estates/IDA’s having vacant land/shed for allotment and (b) cost of the infrastructure limited to 15% of the eligible fixed capital investment made in the industry.","B","","Entrepreneurs",""
"380","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","T –PRIDE(Telangana State Programme for Rapid Incubation of Dalit Entrepreneurs) Incentive Scheme","Industries & Commerce Department, Government of Telangana","","All","Telangana","SC / ST Entrepreneurs","https://ipass.telangana.gov.in/IpassLogin.aspx","NA","http://industries.telangana.gov.in/Library/2014INDS_MS29.pdf","Under the NEW INDUSTRIAL POLICY FRAMEWORK FOR THE STATE OF TELANGANA 2014, Government approved fiscal benefits under the T-PRIDE—Telangana State Program for Rapid Incubation of Dalit Entrepreneurs incentive scheme. All manufacturing and service sector activities set up by Scheduled Caste and Scheduled Tribe entrepreneurs after 1st November 2014 are eligible for availing incentives/concessions under this policy. The following benefits are provided to Scheduled Castes / Scheduled Tribe owned Enterprises:
1. 100% reimbursement of Stamp duty and transfer duty paid by the industry on purchase of land meant for industrial use.
2. 100% reimbursement of Stamp duty for Lease of Land/Shed/ Buildings and also mortgages and hypothecations.
3. 33 1/3% rebate in land cost limited to Rs.10.00 Lakhs in Industrial Estates / Industrial Parks, if not availed rebate from TSIIC as per G.O Ms.No. 102 of Industries & Commerce (INF), Department, AP, dt. 19.6.2012.
4. 25% Land conversion charges for the industrial use limited to Rs.10.0 lakhs.
5. Fixed power cost reimbursement @ Rs. 1.50 per unit for a period of 5 years from the date of commencement of commercial production.
6. Seed capital assistance to First Generation Entrepreneurs to set-up Micro Enterprises @ 20% of the Machinery cost, which will be deducted from the eligible investment subsidy. 7. 35% investment subsidy on fixed capital Investment for Micro and Small Enterprises set up by SC and ST Entrepreneurs, with a maximum limit per unit as Rs. 75.00 Lakhs. Additional 5% investment subsidy for units set up in Scheduled Areas by ST entrepreneurs with a maximum
limit per unit as Rs.75.00 Lakhs
8. Reimbursement of 100% net VAT/CST or State Goods and Services Tax (SGST) for a period of 5 years from the date of commencement of commercial production to Small and Micro Enterprises.
9. Reimbursement of 75% net VAT/CST or State Goods and Services Tax (SGST) for a period of 7 years from the date of commencement of commercial production to Medium Enterprises or up to realization of 100% fixed capital investment, whichever is earlier.
10. Reimbursement of 50% VAT/CST or State Goods and Services Tax (SGST) for a period of 5 years from the date of commencement of commercial production to Large Enterprises or up to realization of 100% fixed capital investment, whichever is earlier.
11. Interest subsidy under Pavala Vaddi Scheme on the term loan taken on the fixed capital investment by Micro and Small Enterprises in excess of 3% per annum subject to a maximum reimbursement of 9% per annum for a period of 5 years from the date of commencement of commercial production. This benefit is also applicable to the Service Sector units set up under this Policy.
12. 50% Reimbursement of cost involved in skill upgradation and training the local manpower limited to Rs.2000 per person.
13. 100% subsidy on the expenses incurred for quality certification/ patent registration limited to Rs. 3.00 Lakhs for Micro and Small Enterprises.
14. 25% subsidy on specific cleaner production measures limited to Rs.5.00 Lakhs.
15. For Micro and Small Enterprises set up by Scheduled Caste and Scheduled Tribe entrepreneurs, Infrastructure like roads, power and water will be provided at doorstep of the industry for standalone units by contributing 50% of the cost of infrastructure from IIDF with a ceiling of Rs.1.00 Crore, subject to: (a) the location should be beyond 10 kms from the existing Industrial Estates/IDAs having vacant land/shed for allotment and (b) cost of the infrastructure limited to 15% of the eligible fixed capital investment made in the industry. 50% of the cost of infrastructure is raised to75% in respect of units set up by ST entrepreneurs in Scheduled areas
16. The line of activity of Excavator is considered as eligible exclusively in case of Scheduled Caste and Scheduled Tribe entrepreneurs and incentive shall be extended under service activity.
17. Joint venture industries of Scheduled Caste or Scheduled Tribe entrepreneurs should be owned 100% by Scheduled Caste / Scheduled Tribe entrepreneurs. Share holding should continue for at least six (6) years from the date of production, failing which the special incentives allowed to Scheduled Caste/Scheduled Tribe entrepreneurs will be recovered.","B","","Entrepreneurs",""
"381","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","Revival of sick units scheme","Industries & Commerce Department, Government of Telangana","","All","Telangana","Sick enterprises","NA","NA","http://industries.telangana.gov.in/sailentFeaturesGO203.aspx","The backbone of the newly revised policy is to encourage the Banks/Financial institutions for servicing the sick units and providing a rehabilitation package for their quick revival to join the mainstream. A 6% interest subsidy will be provided to all identified/eligible sick units, subject to a maximum of Rs.2 lakhs per year for a maximum period of three years. However, the component of the interest to be reimbursed shall be projected by the financing bank to the State Level Committee after following the guidelines. Once the State Level Committee accepts the proposal, the Commissioner of Industries shall draw the eligible interest subsidy on annual basis and reimburse to the Financing Bank.

Arrears of payment of purchase tax, sales tax, and interest towards non-payment of sales tax shall be deferred for 3 years from the date of grant of revival package. The amount so deferred will be recovered in six equal half-yearly installments effective after three years of tax holiday.","N","","Enterprises",""
"382","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Allotment of Raw-materials","Industries & Commerce Department, Government of Telangana","","Manufacturing","Telangana","Enterprises","https://ipass.telangana.gov.in/UI/TSIPASS/RawMatirialLink.aspx","NA","http://industries.telangana.gov.in/commoditiesAllotment1.aspx","Most of the raw-materials required by the industrial units for undertaking the manufacturing process are available in open market without restrictions. But in case of certain scarce raw materials like Alcohol, Molasses, Methanol, Coal etc. their distribution is controlled and the Department of Industries assists the application industry procuring the requirements. The procedure followed is as given hereunder.

The Industrialists who are seeking for allotment for Raw materials shall apply to the concerned General Manager, District Industries Centre. The General Managers should recommend the proposals duly enquiry on the status of the unit and verifying the genuinity of the documents enclosed as per the guidelines / instructions issued by the Commissioner of Industries time to time.","N","","Enterprises",""
"383","","Mentoring/Networking","NA","","NA","0","Suvidha Incubation","I.T E & C Department, Government of Telangana","","All","Telangana","Aspiring and existing women entrepreneurs","https://wehub.telangana.gov.in/programs/socio-impact-program/suvidha/","","","The objective of the program is to ensure that potential women entrepreneurs are given the needed guidance to transform their ideas into established business enterprises. The entrepreneurs will undergo the required technical support and mentoring for the ultimate assessment of the feasibility and potential viability of their ideas.","F","WE Hub","Entrepreneurs",""
"384","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Telangana Fiber Grid orT-Fiber","I.T E & C Department, Government of Telangana","","All","Telangana","Entrepreneurs, Enterprises","NA","NA","http://tfiber.telangana.gov.in/project/vision-objective/","Government of Telangana has envisioned to establish a state-of-the-art network infrastructure to serve as the backbone for Digital Telangana. The state aims to usher in digital democracy through affordable & reliable high-speed broadband connectivity to every household, government and private institution in Telangana. Telangana Fiber Grid project will provide infrastructure for affordable and high speed broadband connectivity and Digital services to 10 Zones (33 Districts), 589 Mandals, 12751 Gram Panchayats (~24,000 Habitations), 83.58 Lakh households and more than 2 crore people. T-Fiber is based on the idea of providing access to infrastructure to different players on a non-discriminatory and non-monopolistic basis where the government will not become a service provider to deliver internet services to households and enterprises while different players shall be allowed to provide internet services to households and private enterprises. The network shall be capable of delivering 4-100 Mbps to households and on-demand 20-100 Mbps to institutions and enterprises.","B","","Entrepreneurs",""
"385","","Mentoring/Networking","NA","","NA","0","T-Hub Program","T-hub, Government of Telangana","","All","Telangana","Startups","NA","https://t-hub.co/","https://t-hub.co/","T-Hub (Technology Hub) is an innovation hub and ecosystem enabler. Based out of Hyderabad, India, T-Hub leads India’s pioneering innovation ecosystem. With a mission of enabling and empowering an ecosystem hungry for innovation, T-Hub is creating impact for startups, corporations and other innovation ecosystem stakeholders. Incorporated in 2015, it has provided over 1800+ national and international startups with access to better technology, talent, mentors, customers, corporates, investors and government agencies.","N","","Enterprises",""
"386","","Access to finance","Training/skilling","Funding","Business Development Services","Funding, Business Development Services","CM ST Entrepreneurship and Innovation Scheme","Tribal Welfare Department","","All","Telangana","Entrepreneus","NA","https://tsobmms.cgg.gov.in/downloads/cmstei_scheme_details.pdf","https://tstribalwelfare.cgg.gov.in/mainPage.do","TRICOR, Tribal Welfare Department is implementing an innovative scheme with the nomenclature ""CM ST Entrepreneurship Innovation Scheme"" for promoting industrialization and entrepreneurship among Schedule Tribes. The programme focuses on enabling ST Entrepreneurs with the required capacities in order to better equip them for setting up of new enterprises/ expanding their existing businesses through well-designed Business Plans that will find commensurate backing from Banks and Financial Institutions in partnership with Indian School of Business (ISB), Hyderabad. The major objectives of the scheme are:
1. To promote entrepreneurship culture among STs
2. To nurture Tribal Entrepreneurs to expand their business and become employment providers through enterprise development
3. To facilitate innovative business solution for un-met social needs
ELIGIBILITY CRITERIA
1. Candidate shall be a graduate of any stream .
2. The prospective entrepreneur who is having innovative ideas shall be given preference.
3. Highly qualified technocrats will be considered.
4. Entrepreneur should have thorough knowledge & experience in the proposed activity.
5. Startup entrepreneurs will be encouraged.
6. All communities among Scheduled Tribes shall be given equal priority and some reservation criteria will be ensured for different Scheduled Tribe categories.
7. The candidate shall have good credit history with the Bank.
8. The candidate should have the capacity to invest 10% of the unit cost as Beneficiary Contribution as per scheme norms.
9. Candidate having 2 years of working experience shall be given preference.
10. Preference shall be given to the PvTGs.
11. The candidates whose family members have already availed benefit under this scheme are not eligible
FUNDING PATTERN:
After successful completion of capacity building training at ISB, each candidate shall prepare and submit viable Detailed Project Report to the Bank for financial assistance thereby availing grant support from TRICOR, Tribal Welfare Department. TRICOR will only sanction release the subsidy to the candidates subject to approval of the DPR by the Bank. The funding pattern under the scheme is as follows:
1. Subsidy - 35% on the unit cost subject to maximum of Rs.50,00,000/- Lakhs.
2. Additional 5% subsidy for the enterprises set up in scheduled area, i.e., 40%, on the unit cost, subject to maximum of Rs.50,00,000/- Lakhs.
3. Additional 10% subsidy for Scheduled Tribe women entrepreneurs i.e., 45% on the unit cost, subject to maximum of Rs.50,00,000/- Lakhs.
4. 10% of the unit cost shall be borne by the beneficiary as a Beneficiary Contribution.
5. Remaining cost shall be the loan from the financial institutions.","B","TRICOR (TRIBAL COOPERATIVE FINANCE CORPORATION LTD)","Entrepreneurs",""
"387","","Access to finance","NA","Funding","NA","Funding0","General Loan Scheme","","","All","Telangana","Enterprises","https://esfc.telangana.gov.in/ProductsAndServices.jsp","","https://esfc.telangana.gov.in/ProductsAndServices.jsp","Purpose: To provide financial assistance for acquiring fixed assets / equipment / construction of buildings for:
establishing a new unit / enterprise expansion modernisation diversification backward or forward integration

Eligibility: All Corporations, Companies, Co-Operative Societies, Firms, Individuals and other legal entities eligible U/s 26 of SFCs Act.

Quantum of loan: Upto 75 % of cost of identifiable fixed assets","N","State Financial Corporation Telangana Division","Enterprises",""
"388","","Access to finance","NA","Funding","NA","Funding0","Practicing Doctors Scheme","","","Service","Telangana","Practicing doctors","https://esfc.telangana.gov.in/ProductsAndServices.jsp","","https://esfc.telangana.gov.in/ProductsAndServices.jsp","Purpose: To provide financial assistance to Practicing Doctors for:
- acquiring equipment, air conditioners, furniture, fixtures, computers, office equipment, systems, ambulance, car / van, site for clinic etc., - undertaking interior decoration, renovation including face lifting of clinic / hospital / nursing home / diagnostic centre.
Eligibility:
- Doctors with MBBS / PG Degree / PG Diploma / BDS / MDS / DHMS / BHMS / BAMS / BPT / BUMS qualification.
- Should have filed IT Returns for atleast two financial years.
Quantum of loan: - Upto 75 % of cost of equipment
- Min. Loan : Rs 5.00 Lakhs
- Max. Loan :
a) Rs 5.00 Lakhs for doctors with DHMS / BHMS / BAMS / BPT / BUMS qualification
b) Rs 30.00 Lakhs for doctors with MBBS & BDS qualifications
c)Rs 50.00 Lakhs for doctors with PG Degree / PG Diploma / MDS qualification","B","State Financial Corporation Telangana Division","Entrepreneurs",""
"389","","Access to finance","NA","Funding","NA","Funding0","MSME-MTL Scheme for Working Capital & Other Business Needs","","","All","Telangana","Enterprises","https://esfc.telangana.gov.in/ProductsAndServices.jsp","","https://esfc.telangana.gov.in/ProductsAndServices.jsp","Purpose: Financial assistance for:
- Meeting the requirement of gap in working capital, to execute special orders and other business needs.
- Acquisition of fixed assets where the capacity of the entity does not exceed 25% over the existing installed capacity.
Eligibility:
- Companies, Registered Co-operative Societies, Corporations, Firms, LLPs and Proprietary concerns / Individuals.
- Existing units with minimum 3 years of operations, good repayment track record (for loans availed if any) and satisfactory banker opinion.
Quantum of loan: - Upto 75% of cost of identifiable fixed assets.
- The maximum assistance to meet gap in working capital is also subject to the computation of eligibility based on turnover and cash profits in previous three years.","N","State Financial Corporation Telangana Division","Enterprises",""
"390","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","Marketing Assistance Scheme","","","All","Telangana","Enterprises","https://esfc.telangana.gov.in/ProductsAndServices.jsp","","https://esfc.telangana.gov.in/ProductsAndServices.jsp","Purpose: To provide financial assistance for acquiring fixed assets / equipment / construction of buildings for :
- For undertaking various marketing related activities by Small Scale Enterprises.
- For setting up new showrooms and /or renovation of existing showrooms for marketing predominantly small scale / village / cottage industry products â?? show rooms set up within country or abroad.
- Development of infrastructure like setting up of permanent exhibition centres, industrial parks etc.
- Setting up of facilities for providing marketing support to SSI units.
- Assistance for setting up Super Bazaars for Marketing of SSI & Other Products.
Eligibility: Companies, Registered Co-operative Societies, Corporations, Firms, LLPs and Proprietary concerns/Individuals with good track record and sound financial position.
Quantum of loan: - 65% cost of eligible components including core working capital.
- The applicant concern shall be in operation for at least 1 year.
- The loan amount limited to Rs. 15.00 lakhs in respect of proposals received from new entrepreneurs / new concerns.
- The loan amount is up to 25% of the previous year turnover after deducting for the existing working capital limits.","N","State Financial Corporation Telangana Division","Enterprises",""
"391","","Access to finance","NA","Funding","NA","Funding0","Micro and Small Enterprises","","","All","Telangana","New / existing micro and small SC / ST entrepreneurs engaged in manufacturing / service sector","https://esfc.telangana.gov.in/ProductsAndServices.jsp","","https://esfc.telangana.gov.in/ProductsAndServices.jsp","Purpose: To provide financial assistance by way of term loans to new / existing micro and small SC / ST entrepreneurs engaged in manufacturing / service sector.

Eligibility: 
- Companies, Registered Co-operative societies, Firms, LLPs, Individuals and other legal entities.
- The entire shareholding shall be held / all partners and members shall belonging to SC / ST Community.

Quantum of loan:
- Financial assistance by way of term loan to a single borrower not exceeding Rs.25.00 lakhs.
- The working capital loan component is maximum up to 30% of the project cost.","N","State Financial Corporation Telangana Division","Enterprises",""
"392","","Access to finance","NA","Funding","NA","Funding0","MSME COVID-19 Relief Scheme","","","All","Telangana","Enterprises who are existing borrowers","https://esfc.telangana.gov.in/ProductsAndServices.jsp","","https://esfc.telangana.gov.in/ProductsAndServices.jsp","Purpose of loan: To provide financial assistance to the existing borrowers of the corporation for meeting the temporary liquidity mismatches arising out of impact of COVID-19.
Eligibility: All Companies, Co-operative Societies, Corporations, LLPs, Sole proprietary/Partnership Firms, Individuals with good track record are eligible for financial assistance under the scheme. The unit shall be in operation for a minimum period of 3 years.
Quantum of loan: - Minimum of Rs. 5.00 lakhs.
- Maximum of Rs. 200.00 lakhs.","N","State Financial Corporation Telangana Division","Enterprises",""
"393","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Duck Rearing Project at Rudrasagar area, Melaghar, Sepahijala District","Animal Resources Development Department, Government of Tripura","","Agri and allied activities","Tripura","Unemployed Youth","NA","","https://ardd.tripura.gov.in/?q=scheme","Hon’ble Chief Minister has given visionary guideline for sustainable income generation among the unemployed youth especially among the women population. This endeavour was taken up to create a model duck village at Rudrasagar area. Accordingly, 50,000 number of ducklings are to be distributed among 1000 number of beneficiaries @ 50 number of ducklings per beneficiary in Rudijala area, Melaghar, Shipahijala district. This will not only enhance the egg production but also increase the fish production in Rudujala as the duck is biological air drooping bird that facilitates oxygen supply to the fish.","B","","Entrepreneurs",""
"394","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Distribution of Biotech Kit under State Plan Scheme","Department of Science, Technology and Environment","","Agri and allied activities","Tripura","Farmers, SHGs","NA","","https://dbttripura.nic.in/Schemes-DBT.htm","Growing concern about the adverse effects of application of chemicals in the agriculture practices has compelled us to restore the environment for sustainable production that encourages the introduction of organic inputs in a comprehensive form of Biotech kit. The process offers immense scope to small and marginal farmers and SHG groups in creating their own organic environment and project their farming land as a “hub of safe food production” . It is considered necessary to promote and take these technologies to the doorstep of the farmers in every corner of the state for the improvement of soil health and to create a hazard-free sustainable environment. The “Biotech Kit” consist of different bio-inputs including Micorhizal preparation N,P,K,S fixing biofertilizer, entomopathogenic biopesticides, neem & garlic based biopestisides, beneficial fungas to restrain plant diseases, lure to trap the pest and a sprayer. These Biotech Kits are distributed to small and marginal farmers of the state.","B","","Entrepreneurs",""
"395","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Bamboo Park","Department of Industries and commerce","","Agri and allied activities","Tripura","Entrepreneurs","NA","","https://industries.tripura.gov.in/bamboo-park","In order to facilitate setting up of bamboo-based industries in the state, a Bamboo Park has been set up at Bodhjungnagar, at a total cost of Rs.29 crores. The Bamboo Park shall not only create the physical infrastructure for the industries, but shall also provide state-of-the-art common facilities like bamboo raw material depot, bamboo splitting & slivering unit, bamboo treatment and processing centre, drying chambers, testing labs, logistics hub, warehouse, machine maintenance centre, etc.","B","TIDC ltd","Entrepreneurs",""
"396","","Access to finance","NA","Funding","NA","Funding0","Swavalamban","Department of Industries and commerce","","All","Tripura","Any individual within the age group of 18 to 50 years can apply for loan","NA","","https://industries.tripura.gov.in/swabalamban-guidelines-schemes","Swavalamban is a Self-employment Generation Programme (SEGP) initiated by the state government with the objective to ensure that a sizeable number of unemployed youth and SHGs are developed as potential individuals or group entrepreneurs so that they can take up gainful self-employment. The programme was initially launched in July 2001, but has since been expanded in its scope in 2005-06. A Swavalamban Society has been constituted for the effective implementation of the programme. The SHGs component of the programme is being implemented through RD Department and the Self-employment Programme (SEP) component is being implemented by Industries & Commerce Department through the DICs. The main components of the Programme are Skill Up-gradation and financial support. The guidelines of Swabalamban scheme has been revised w.e.f 2019-20 to make it more entrepreneurs friendly. Also, the maximum limit of loan amount has been fixed upto Rs. 1 cr. for each project, in which no upper ceiling was fixed earlier. Any individual within the age group of 18 to 50 years can apply for loan. Only one person from one family is eligible for financial assistance. There is no income bar and qualification bar for availing of financial assistance under this programme. Projects promoted under partnership category, SHG and Cooperative are also eligible for assistance under the programme.","B","","Entrepreneurs",""
"397","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Tripura Industrial Investment Promotion Incentives Scheme","Department of Industries and commerce","","All","Tripura","Entrepreneurs","NA","","https://industries.tripura.gov.in/state-scheme-details
https://industries.tripura.gov.in/sites/default/files/Industrial-Investment-Promotion-Policy-2017-with-all-amendments.pdf","The State Govt. has also announced new incentive package called “Tripura Industrial Investment Promotion Incentives Scheme, 2017”, effective from 01.04.2017. Under this Policy, the multiple incentives like capital subsidy, investment subsidy, reimbursements are provided for setting up industries in Tripura. State Capital Investment Subsidy @30% on Fixed Capital Investment (with additional subsidy @2.5% to ST, SC and Women Enterprises), subject to a ceiling of Rs.60 Lakhs per unit is also provided. For thrust sector unit, capital investment subsidy @40% on Fixed Capital Investment within the overall ceiling of Rs.70 lakhs is given.
1. Industrial Promotion Subsidy (reimbursement of GST) subject to an overall ceiling of Rs.60 Lakhs per annum per enterprise. 2. The aggregating limit of entitlement of an enterprise for 5 years shall not be exceed to 100% value of investment made in plant and machinery.
3. 25% Reimbursement of Power Charges, maximum of Rs. 12.00 Lakhs per annum per enterprise.
4. 4% Reimbursement of Interest on Working Capital loans maximum of Rs.3.00 Lakhs per annum.
5. Reimbursement of Standard Certification Charges/ fees/ expenses to eligible enterprises in 10 selected areas issued by National and Inter-national Bodies.
6. 15% Procurement Preference to Local industrial enterprises subject to 20% value addition.
7. 100% Exemption from the payment of Earnest Money and Security Deposits on tenders floated by the State Govt./Departments/Agencies.
8. Employment Cost subsidy under Thrust Sector towards EPF and ESI contribution on employment of 20 or more persons skilled and semi-skilled workers who are domiciled of the State.
9. 100% reimbursement on fees paid for CGTMSE coverage on loans granted by Banks/ NBFCs.
10. Export Promotion Subsidy @10% on value of export of goods with ceiling of Rs.20.00 Lakhs per annum.
11. Subsidy for participation in fares and exhibition (Thrust sector only) @50% of actual expenditure for one person and transportation cast of goods for display/sale with maximum celing of Rs.50000/- per annum (max.of 2 fares).","B","","Entrepreneurs",""
